"顺序","编号","优先级","状态","领域","问题","风险","证据","验收标准","备注"
"13","MV-013","P1","已完成","renderer/resources","测量可视化更新时未释放全部 geometry/material","GPU 资源随测量重建持续增长","packages/mol-viewer/src/lib/molRenderer/MeasureVisuals.ts:33; packages/mol-viewer/src/lib/molRenderer/MeasureVisuals.ts:172","update/dispose 后所有移除资源均 dispose；反复更新的资源数稳定","2026-07-10 完成；update/dispose 共享递归释放出口，geometry/material 对象级测试各释放一次；核心包 71 文件 463 用例、类型和边界检查通过"
"14","MV-014","P1","已完成","renderer/gizmo","gizmo 缺少 pointercancel、lostpointercapture 和失焦清理","拖拽状态、capture 或 continuous ticker 残留","packages/mol-viewer/src/lib/molRenderer/RotateGizmoController.ts:120; packages/mol-viewer/src/lib/molRenderer/RotateGizmoController.ts:371","up/cancel/lost capture/blur/dispose 走同一复位出口；ticker 停止；transaction 结束","2026-07-10 完成；up/cancel/lost capture/blur/dispose 统一幂等复位，增加 pointerId 与 dirty 防护；核心包 71 文件 468 用例、类型和边界检查通过"
"15","MV-015","P2","已完成","renderer/picking","publication 键描边参与 picking 但没有 bond ID","点击描边可传递 undefined bondId","packages/mol-viewer/src/lib/molRenderer/InteractionHandler.ts:107; packages/mol-viewer/src/lib/molRenderer/MoleculeRenderer.ts:352","picking 只返回有效 bond ID；描边和键本体命中结果一致","2026-07-10 完成；publication 键主体与描边共享 bond identity，拾取入口过滤无有效 ID 的装饰 mesh；核心包 72 文件 470 用例和类型检查通过"
"16","MV-016","P2","已完成","renderer/resources","bond-drag ghost line 材质未 dispose","每次拖出生长都累积 GPU material","packages/mol-viewer/src/lib/molRenderer/GhostVisuals.ts:39; packages/mol-viewer/src/lib/molRenderer/GhostVisuals.ts:69","removeLine/dispose 同时释放 geometry 和 material；反复拖拽资源数稳定","2026-07-10 完成；ghost line 使用单个 DynamicDrawUsage position attribute 原位更新，clear/dispose 同时释放 geometry 和 material；核心包 73 文件 473 用例和类型检查通过"
"17","MV-017","P1","已完成","app/async","异步优化结果未绑定启动时的 scene object","切换对象后旧结果可写入新对象","apps/retainmol/src/components/panels/RightPanel.tsx:20; apps/retainmol/src/lib/moleculeOpt.ts:53","session 绑定 objectId 与 revision；过期结果被拒绝；坐标只写回原对象","2026-07-10 完成；异步任务捕获 objectId 与不可变 molecule revision，切换对象仍写回原对象，原对象编辑/删除后拒绝过期结果；App 4 文件 22 用例和 TypeScript build 通过"
"18","MV-018","P1","已完成","app/worker","Worker 失败时 Promise 和 busy 状态可永久悬挂","界面一直处理中，后续请求不正常","apps/retainmol/src/lib/moleculeOpt.ts:13; apps/retainmol/src/domain/moleculePlacementService.ts:37","onerror/onmessageerror/超时结束 pending；busy 在 finally 清理；可再次请求","2026-07-10 完成；Worker error/messageerror/60 秒超时统一结算并重建实例，postMessage 异常安全；busy 使用 finally 与并发计数；App 6 文件 28 用例及 TypeScript build 通过"
"19","MV-019","P1","已完成","app/async","2D→3D 生成缺少过期请求保护","并发导入或后续编辑可被旧请求覆盖","apps/retainmol/src/domain/moleculePlacementService.ts:32","request token/cancel 生效；replace 只提交最新请求；过期结果不改场景","2026-07-10 完成；replace 使用 latest token、单调 scene revision 与 active object 门控；对象动画由 AbortController 主动取消，RAF/异常统一恢复 transaction；App 9 文件 37 用例及 TypeScript build 通过"
"20","MV-020","P2","已完成","commands/boundary","atom↔fragment 和 interaction↔atom/bond 存在目录级互依赖","领域 facade 不是真实边界，容易形成环","packages/mol-viewer/src/lib/builder/commands/atom/atomClickCommands.ts:4; packages/mol-viewer/src/lib/builder/commands/fragment/fragmentCommands.ts:11; packages/mol-viewer/src/lib/builder/commands/interaction/interactionCommands.ts:2","领域依赖矩阵无 SCC；跨领域用例由 interaction/effect 编排；boundary check 能拦截回环","2026-07-10 完成；点击、拖拽结束和 placement 上移 interaction，atom/bond/fragment 只留领域原语；boundary 增加 allowlist、facade 与 Tarjan SCC 检查；核心包 74 文件 469 用例通过"
"21","MV-021","P2","已完成","commands/selection","selection 领域同时编排成键和清空分子","选择规则与 bond/scene 用例紧耦合","packages/mol-viewer/src/lib/builder/commands/selection/selectionCommands.ts:122","selection 只保留集合变换/查询；成键和清空由上层 use-case 编排","2026-07-10 完成；selected-atom 成键归 bond 并返回去选择元数据，清空与选择同步由 store 编排，删除选中内容移至 interaction；核心包 76 文件 469 用例、类型和边界检查通过"
"22","MV-022","P2","已完成","public-api","根入口暴露可变 FRAGMENTS、内部 builder 算法和废弃 wrapper","外部可破坏片段库，包契约持续扩大","packages/mol-viewer/src/index.ts:60; packages/mol-viewer/src/index.ts:71; packages/mol-viewer/src/public/editActions.ts:3","App 只用 subpath；根入口不暴露可变单例/废弃 wrapper；public manifest 测试通过","2026-07-10 完成；删除可变 FRAGMENTS、内部 builder 算法、cn/useBuilder 和废弃 editActions 根导出，root getFragment 改为防御性 public copy；核心包 77 文件 471 用例通过"
"23","MV-023","P2","已完成","public-api/deps","dist 包含内部声明树，zod 同时被安装与打包，存在未使用依赖","内部模块被 IDE 发现，包体积和安装成本增加","packages/mol-viewer/tsconfig.build.json:9; packages/mol-viewer/package.json:51; packages/mol-viewer/vite.config.ts:4","声明仅暴露公共入口闭包；zod 策略唯一；移除未使用运行时依赖","2026-07-10 完成；构建按 package exports 裁剪 declaration graph（206→49，map 归零），zod 保留 runtime dependency 并 external，移除未使用 CVA/lucide；dist contract 与 App 全量测试通过"
"24","MV-024","P2","已完成","app/boundary","viewerAdapter 使用 export * 透传 store/temporal/session API","更换 store 或拆分 slice 仍大面积波及 App","apps/retainmol/src/domain/viewerAdapter.ts:8","adapter 改为显式导出/窄 hook；App 不依赖 temporal 内部形状","2026-07-10 完成；viewerAdapter 改为显式 11-symbol 契约，zundo 收敛为 useMoleculeHistory 与 tracking 查询；boundary 禁止 export * 和 App 直读 temporal；App 9 文件 37 用例通过"
"25","MV-025","P2","已完成","app/performance","App 多个面板订阅完整 molecule store","坐标动画每帧使工具 UI 重渲染并重算连通分量","apps/retainmol/src/features/geometry/components/GeometryPanel.tsx:66; apps/retainmol/src/components/panels/RightPanel.tsx:13; apps/retainmol/src/features/scene/components/ScenePanel.tsx:6","面板使用窄 selector；非相关面板不随坐标帧更新重渲染","2026-07-10 完成；Scene rows 以拓扑 key 缓存并在坐标帧复用引用，RightPanel 订阅名称/命令，GeometryPanel shallow 订阅必要状态；App 10 文件 40 用例通过"
"26","MV-026","P2","已完成","app/domain","构建模式转换在 ToolStrip、BuildPanel、ElementPicker 有三套语义","界面入口切换后构建行为漂移","apps/retainmol/src/components/toolbar/ToolStrip.tsx:51; apps/retainmol/src/components/toolbar/BuildPanel.tsx:36; apps/retainmol/src/components/panels/ElementPicker.tsx:55","删除未使用实现或共享模式命令；工具状态不变式测试通过","2026-07-10 完成；删除无生产引用的 BuildPanel/ElementPicker，ToolStrip 统一调用 buildModeCommands，atom/fragment/build/select/non-build 状态不变式测试通过"
"27","MV-027","P2","已完成","app/domain","分子式逻辑重复且无碳体系 Hill 顺序不完整","不同 UI 显示不一致或错误分子式","apps/retainmol/src/components/layout/CanvasLabel.tsx:3; apps/retainmol/src/hooks/useMoleculeInfo.ts:17","core 提供唯一派生函数；Hill 顺序测试覆盖有碳/无碳体系","2026-07-10 完成；新增 core chemistry 派生入口并供 CanvasLabel/useMoleculeInfo 共用，Hill 顺序覆盖含碳多元素、无碳和空分子；core 子路径 manifest 与 App boundary 均受测试保护"
"28","MV-028","P1","已完成","testing","测试集中在 builder 纯函数，缺少真实 store 和浏览器/WebGL smoke","跨层 pointer、readOnly、undo、picking 回归无法被现有 428 个用例发现","packages/mol-viewer/vite.config.ts:59; packages/mol-viewer/src/hooks/builderCommandEffects.test.ts:71; packages/mol-viewer/src/lib/molRenderer/MolRenderer.ts:166","增加 store-backed 编辑工作流；Chromium/WebGL 挂载、拾取、编辑、undo、resize 无 page error","2026-07-10 完成；新增真实 store 拖拽事务→单步 undo/redo 测试；API 测试页改为单 viewer 隔离用例；Chromium 验证 WebGL 非空、真实拾取/编辑/undo、DPR resize、readOnly 点击/拖拽零回调且无新 console error；同时修复 renderer/overlay 动态 DPR 不一致和零尺寸 resize"
"29","MV-029","P2","已完成","chemistry/data","周期表允许选择未配置元素，但 fallback atomicMass 为 0","分子量会静默漏算 Sc/Ti 等元素并显示貌似有效的错误结果","packages/mol-viewer/src/config/elements.config.ts:63; apps/retainmol/src/components/toolbar/ToolStrip.tsx:345; packages/mol-viewer/src/lib/chemistry.ts:24","所有可选元素有可靠质量，或明确返回不完整结果且 UI 不显示伪精确数值；覆盖未知元素测试","2026-07-10 完成；ElementConfig 未知质量改为 null，calculateMolecularWeight 遇任一未知元素返回 null 而不返回部分和；几何面板明确显示“质量未知”/“M=未知”；core/public/App 覆盖 Sc 与 C+Sc 回归"
"30","MV-030","P1","已完成","interaction/performance","构建态原子单击为等待双击选片段而固定延迟 280ms","CH4 点击 H 接 CH4 等最小编辑也表现为明显卡顿，与分子规模无关","packages/mol-viewer/src/lib/molRenderer/InteractionHandler.ts:158; packages/mol-viewer/src/hooks/useRendererBinding.ts:109","构建态原子单击同步提交且不创建双击 timer；选择态双击选片段继续可用","2026-07-10 完成；仅在选择态绑定 onAtomDoubleClick，构建态单击立即调用 onAtomClick；intent gate 限定双击选片段为 select；新增零 timer 回归测试，mol-viewer 79 文件 479 用例与 App 11 文件 45 用例通过"
